dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,SVD_KNN,87268460.1667032,76732337.419866,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,SVD_KNN_Hankel,47928797.45195572,44469511.89966741,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Kalman,456724838.87254846,270607339.4110564,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,ARIMA,59568098.10794389,46932096.66108999,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,HoltWinters,74772653.22666329,59948797.19572809,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Linear,66997508.27956748,55671719.77083334,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,KNN_Sklearn,50528757.7003559,44895627.59537551,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Spline,102475839.07216378,89845031.74262962,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Mean,50528757.7003559,44895627.59537551,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,LOCF,66496078.931045435,50918165.47916666,4,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_LOCF_imputed.csv
