imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,15,17.775259,0.068581,0.267311,5.941974,0.761979,99.500000,101.827243,0.392872,50
SVD-KNN,15,23.506985,0.090695,0.353507,6.462683,0.814542,98.500000,86.699255,0.334505,50
SVD-KNN-Hankel,15,23.026392,0.088841,0.346280,7.541289,0.961607,99.000000,91.636767,0.353555,50
HoltWinters,15,14.189670,0.054747,0.213390,3.954583,0.515503,99.500000,85.864624,0.331285,50
ARIMA,15,19.684355,0.075947,0.296021,5.788641,0.761397,99.500000,84.200813,0.324866,50
Mean,15,22.924180,0.088447,0.344743,6.681997,0.835151,99.000000,88.604735,0.341857,50
Kalman,15,161.045695,0.621351,2.421868,31.741483,4.246348,97.448980,1082.160592,2.605691,50
KNN-Sklearn,15,22.924180,0.088447,0.344743,6.681997,0.835151,99.000000,88.604735,0.341857,50
LOCF,15,19.788917,0.076350,0.297593,5.748546,0.755362,99.000000,79.198009,0.305564,50
Spline,15,49.571930,0.191260,0.745482,12.621016,1.639634,97.000000,335.131788,1.658652,50
