imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
HoltWinters,15,18.410990,0.030810,0.153125,5.465944,0.603296,97.560976,113.743213,0.190344,41
Linear,15,28.207914,0.047205,0.234607,7.965912,0.880803,97.560976,153.424865,0.256750,41
SVD-KNN,15,14.319392,0.023963,0.119095,3.877235,0.428189,98.170732,89.234052,0.149329,41
Kalman,15,166.575025,0.278756,1.385412,37.609342,4.129191,95.625000,886.370121,0.921215,41
KNN-Sklearn,15,19.920322,0.033336,0.165678,6.408419,0.706529,98.170732,123.397529,0.206500,41
LOCF,15,44.442162,0.074372,0.369628,11.487258,1.267090,95.731707,98.515017,0.164860,41
ARIMA,15,40.890586,0.068429,0.340089,10.804272,1.187025,96.341463,148.179355,0.247971,41
Spline,15,59.572770,0.099692,0.495470,16.824294,1.880210,95.121951,218.061993,1.219214,41
Mean,15,19.920322,0.033336,0.165678,6.408419,0.706529,98.170732,123.397529,0.206500,41
SVD-KNN-Hankel,15,8.524478,0.014265,0.070898,2.747918,0.304355,98.780488,54.583289,0.091343,41
