imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,15,21.153048,0.100112,0.516663,5.938105,0.728861,98.677249,219.331205,1.107129,189
Linear,15,20.001680,0.094663,0.488541,5.242953,0.643318,98.809524,209.020462,1.012548,189
Spline,15,21.063182,0.099687,0.514468,5.543483,0.679519,98.941799,198.336096,0.937414,189
HoltWinters,15,18.990708,0.089878,0.463848,5.182260,0.638828,98.544974,206.563442,1.046249,189
LOCF,15,20.316793,0.096154,0.496238,5.674545,0.690739,98.677249,206.407737,1.032162,189
SVD-KNN-Hankel,15,20.453441,0.096801,0.499575,5.801322,0.710656,98.677249,209.629366,1.050563,189
Mean,15,21.153048,0.100112,0.516663,5.938105,0.728861,98.677249,219.331205,1.107129,189
ARIMA,15,20.328349,0.096209,0.496520,5.793642,0.706289,98.412698,211.286523,1.040646,189
Kalman,15,84.526302,0.400042,2.064556,14.680268,1.757050,97.340426,978.421068,2.322683,189
SVD-KNN,15,23.808286,0.112679,0.581518,6.430130,0.784504,98.677249,219.398687,1.106434,189
