imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,20,23.307509,0.109251,0.706586,7.134970,5.608169,98.543689,170.855871,0.800862,103
LOCF,20,28.031636,0.131394,0.849802,7.730919,6.230764,98.058252,135.547183,0.635358,103
HoltWinters,20,17.131632,0.080302,0.519359,6.095614,4.653930,99.271845,139.811474,0.655346,103
SVD-KNN-Hankel,20,11.998178,0.056240,0.363734,4.113920,2.950579,99.271845,96.720633,0.453364,103
Mean,20,12.083816,0.056641,0.366331,4.219089,3.216885,99.271845,98.746480,0.462860,103
ARIMA,20,14.957133,0.070109,0.453437,4.836480,3.777945,99.271845,142.692813,0.668852,103
Spline,20,41.949976,0.196634,1.271747,13.081189,10.174388,96.601942,180.611233,0.776311,103
KNN-Sklearn,20,12.083816,0.056641,0.366331,4.219089,3.216885,99.271845,98.746480,0.462860,103
Kalman,20,30.276357,0.141916,0.917852,10.509678,7.537602,98.284314,252.904568,2.488214,103
SVD-KNN,20,14.898946,0.069837,0.451673,5.446773,4.088371,99.271845,121.976319,0.571746,103
