imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
HoltWinters,30,26.426724,0.084305,0.452805,10.166092,1.359020,97.727273,168.485248,0.537493,66
LOCF,30,30.579728,0.097554,0.523964,11.767575,1.587993,97.727273,189.730483,0.605269,66
ARIMA,30,33.474013,0.106787,0.573555,14.427713,1.904364,96.590909,190.714282,0.608407,66
KNN-Sklearn,30,24.238741,0.077325,0.415315,9.849210,1.324078,97.727273,178.440441,0.569252,66
SVD-KNN-Hankel,30,20.129487,0.064216,0.344906,7.643255,1.022559,97.727273,155.637968,0.496509,66
Linear,30,30.225363,0.096423,0.517892,11.364560,1.547549,97.348485,199.016122,0.634891,66
SVD-KNN,30,30.458177,0.097166,0.521881,12.663888,1.718286,96.969697,167.268484,0.533612,66
Kalman,30,152.656140,0.486996,2.615663,39.340260,5.236960,93.846154,984.530776,1.717267,66
Mean,30,24.238741,0.077325,0.415315,9.849210,1.324078,97.727273,178.440441,0.569252,66
Spline,30,40.487440,0.129161,0.693726,14.861663,2.001054,95.833333,187.520062,0.623721,66
