imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Spline,40,132.685089,0.492695,2.388875,46.133598,2.264558,92.142857,749.169331,2.099799,36
ARIMA,40,36.228766,0.134527,0.652266,15.205365,0.749223,95.833333,191.721205,0.721146,36
HoltWinters,40,47.298471,0.175632,0.851566,21.718907,1.067100,93.055556,243.465629,0.911613,36
KNN-Sklearn,40,35.317487,0.131143,0.635859,13.814276,0.683335,97.222222,204.298095,0.744985,36
Mean,40,35.317487,0.131143,0.635859,13.814276,0.683335,97.222222,204.298095,0.744985,36
SVD-KNN-Hankel,40,41.367903,0.153610,0.744792,18.554241,0.912121,93.055556,223.206548,0.863324,36
Linear,40,44.019353,0.163455,0.792529,16.733162,0.827276,94.444444,211.864937,0.765312,36
Kalman,40,480.606232,1.784618,8.652879,167.947196,7.995175,91.935484,2659.218699,0.986069,36
SVD-KNN,40,54.656532,0.202954,0.984041,22.306019,1.102783,95.138889,248.616922,0.907041,36
LOCF,40,37.243106,0.138294,0.670528,15.594528,0.768347,95.833333,190.240678,0.709314,36
