imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Mean,40,10.463405,0.099785,0.602151,4.959710,0.553764,96.721311,109.855167,1.035225,183
SVD-KNN,40,11.190853,0.106723,0.644014,5.452698,0.609501,96.584699,109.661819,1.038335,183
SVD-KNN-Hankel,40,11.074953,0.105617,0.637344,5.180692,0.578119,96.584699,110.794265,1.044883,183
HoltWinters,40,10.981661,0.104728,0.631976,5.250037,0.586888,96.311475,116.071587,1.112512,183
Spline,40,17.469395,0.166598,1.005333,7.721315,0.863726,96.174863,129.564826,1.469006,183
LOCF,40,11.811311,0.112640,0.679720,5.725581,0.638945,96.448087,118.277914,1.125053,183
ARIMA,40,12.217733,0.116515,0.703109,5.919657,0.660826,96.584699,128.953444,1.236494,183
Linear,40,12.553187,0.119715,0.722414,5.812069,0.649143,96.311475,131.372037,1.259429,183
Kalman,40,92.643065,0.883499,5.331448,24.079977,2.695404,94.093407,1153.080689,2.035037,183
KNN-Sklearn,40,10.463405,0.099785,0.602151,4.959710,0.553764,96.721311,109.855167,1.035225,183
