imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,5,2.414887,0.039368,0.180911,0.372090,0.041896,99.385246,23.842635,0.388689,122
Spline,5,4.810765,0.078426,0.360397,0.714715,0.080498,99.385246,34.300446,0.559176,122
Kalman,5,3.325464,0.054213,0.249126,0.461681,0.051863,99.590164,24.430019,0.398265,122
HoltWinters,5,3.114504,0.050774,0.233322,0.486656,0.054799,99.385246,28.693497,0.467770,122
LOCF,5,3.025246,0.049318,0.226636,0.474845,0.053464,99.385246,26.298026,0.428718,122
KNN-Sklearn,5,2.221166,0.036210,0.166398,0.378075,0.042536,99.180328,24.104826,0.392964,122
Mean,5,2.221166,0.036210,0.166398,0.378075,0.042536,99.180328,24.104826,0.392964,122
SVD-KNN,5,2.798167,0.045617,0.209624,0.477825,0.053728,99.180328,24.420251,0.398106,122
Linear,5,3.471659,0.056596,0.260079,0.569396,0.064084,99.180328,28.322151,0.461716,122
ARIMA,5,2.937258,0.047884,0.220044,0.459951,0.051790,99.385246,26.259760,0.428094,122
