imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Spline,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
LOCF,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
HoltWinters,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
SVD-KNN,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
SVD-KNN-Hankel,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
Kalman,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
Mean,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
ARIMA,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
KNN-Sklearn,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
Linear,5,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,23
